word,count
suckles,1
stranger,167
strangers,43
68,281
much,7109
ambiguous,44
capable,284
interpretation,431
interpretations,33
said,12954
generally,718
recur,19
recurs,4
various,799
guise,29
guises,5
cultures,82
69,254
hard,2033
find,5756
documentary,68
evidence,1318
deliberate,131
conversion,270
70,472
bolivian,5
Bolivian,5
teresa,21
Teresa,21
gisbert,4
Gisbert,4
council,1454
Councils,15
lima,6
Lima,6
responsible,496
questions,553
viceroyalty,1
Viceroyalty,1
seek,597
sought,150
attract,291
faith,232
appealing,59
them,8795
71,282
appeal,732
72,288
martin,413
Martin,373
soria,1
Soria,1
tentatively,34
put,8090
puts,138
forward,1052
theory,985
because,7876
replace,439
replaced,166
similar,1249
messenger,54
messengers,4
pre,493
73,260
produces,99
NN0,20392
series,821
zodiac,9
cathedral,85
Cathedral,20
commission,315
commissioned,20
order,2355
counteract,16
traditional,547
star,769
stars,130
aid,436
christianise,1
Christianising,1
andes,13
Andes,13
74,252
suggest,1421
suggests,310
purpose,727
celestial,17
phenomena,53
theologically,2
acceptable,198
cult,82
75,376
So,3287
apparently,676
reason,2600
reasons,294
christian,146
Christian,104
native,175
oppressor,7
oppressed,19
76,249
you,97404
simultaneously,109
inducement,44
threat,469
protection,360
solace,8
yearn,19
yearning,16
77,261
Does,382
explain,955
expressivity,2
78,277
For,1574
can,23354
interpret,212
interpreted,72
accord,569
according,356
view,2054
feelings,135
79,246
Protection,29
defence,838
Defence,53
Faith,19
e,1675
adoption,60
identification,131
guardian,52
spirit,313
watch,1846
your,5730
life,4221
journey,360
universal,229
very,9228
individual,1342
express,554
expressed,216
religion,137
religions,12
80,526
dream,657
ask,3418
want,10809
81,264
brilliantly,42
opulent,4
light,1959
clothing,104
mobility,62
hierarchical,41
placing,86
pictorial,12
composition,89
bisexuality,2
intimate,51
enablement,2
82,251
among,1396
Among,89
unique,246
South,480
even,6201
Angels,7
gun,577
Guns,4
83,240
inventory,22
1748,67
lists,77
armed,200
84,268
julia,33
Julia,33
P,389
herzberg,3
Herzberg,3
call,3245
calls,227
representations,34
winged,19
beings,88
military,355
aristocratic,63
give,7251
gives,312
explanation,457
raison,10
d,4418
être,4
85,306
Paintings,6
guns,95
appeared,368
when,16672
orders,129
confront,123
confronted,42
stubborn,33
persistence,22
amongst,170
charge,1487
charges,270
86,266
immense,69
Immense,1
problem,3431
problems,986
campaign,619
destroy,226
idol,33
idols,5
teaching,288
reinforce,122
reinforcing,15
principle,709
principles,147
87,252
sermon,30
Sermons,1
primary,443
means,1462
useful,787
symbol,139
symbols,31
teachings,3
88,241
conquer,22
conquered,10
Incas,1
cross,975
Cross,85
arquebus,2
89,467
key,1228
understand,1469
understanding,402
function,962
motif,35
90,459
firearm,63
Firearms,9
unknown,254
frightening,92
manifestation,47
flee,99
fled,51
fear,879
blare,6
trumpet,58
trumpets,7
roar,124
arquebuse,1
arquebuses,1
artillery,20
91,265
hand,4046
hands,757
must,5731
VHN,1564
powerful,427
converts,9
92,252
since,3256
defensively,21
functioned,6
symbolically,11
reminder,71
reminders,9
offer,1580
offered,354
embrace,93
embraced,11
93,259
serve,548
served,167
secular,58
emphasise,143
emphasising,11
lesson,182
régime,4
unite,66
united,615
goal,906
christianize,2
94,241
crusade,37
subliminally,2
suggested,426
gentle,164
handle,472
handles,28
his,16632
firing,54
weapon,213
varied,111
position,1264
positions,147
recall,310
fighting,226
95,378
speak,1525
speaking,316
continue,1094
continues,111
96,238
Far,59
costume,68
costumes,15
high,3271
social,2721
status,492
gentleman,113
gentlemen,24
royalty,40
97,225
Richly,1
brocaded,2
fabric,60
fabrics,10
ribbon,44
ribbons,13
lace,86
characterize,91
viceregal,4
17th,36
98,229
nature,894
define,456
defined,279
elegant,139
relate,459
relates,51
ruling,128
aristocracy,43
99,337
seems,793
me,7230
100,1011
although,1954
Although,477
technical,297
detail,822
details,323
loading,53
handling,169
taken,1337
flemish,12
Flemish,12
manual,144
1607,69
common,1281
soldier,260
retain,287
retained,78
becomes,254
gorgeous,72
aristocrat,14
101,215
non,1690
aggressive,126
pose,154
seductive,8
makes,658
oblique,8
imply,261
implied,80
face,3612
lay,811
laid,202
ugly,133
violent,291
102,203
Are,860
approach,1278
mix,288
mixed,194
soft,490
ally,92
allied,51
hinting,13
just,15369
foreigner,49
domination,106
inhabitant,53
inhabitants,43
class,1968
conflict,296
mélange,2
aristocracies,1
103,221
perhaps,2167
Perhaps,454
104,193
again,5511
enigmatic,20
multiple,195
tension,153
tensions,18
105,212
Can,689
conflation,8
between,5850
wish,1062
wishes,92
106,200
107,199
prestige,45
still,6163
108,188
architectural,28
decoration,55
18th,52
brandish,6
brandishing,3
flaming,59
sword,85
prominent,136
place,4434
particularly,1389
fine,1154
examples,211
puno,1
Puno,1
lorenzo,10
Lorenzo,10
potosi,3
Potosi,3
diablada,2
boliviana,2
devil,122
drama,199
michael,391
Michael,373
defeat,354
defeats,19
Devil,22
Seven,166
mask,194
Masks,1
109,193
1950,120
curious,205
consistent,213
coincidence,89
pointedly,21
Pointedly,1
pope,63
Pope,49
pius,1
Pius,1
xii,9
XII,7
